Date,Open,High,Low,Close,Volume
2024-05-10,124.047,126.0491,123.5392,126.0488,788293
2024-05-11,126.0488,126.7376,124.8949,125.2123,968857
2024-05-12,125.2123,126.7325,124.6894,126.6953,1159028
2024-05-13,126.6953,126.8343,126.0783,126.3476,756803
2024-05-14,126.3476,128.6118,126.3443,128.0031,926021
2024-05-15,128.0031,131.5411,127.9122,130.3188,1021492
2024-05-16,130.3188,131.0442,129.5726,130.0776,960826
2024-05-17,130.0776,130.7954,129.8112,130.5927,803770
2024-05-18,130.5927,133.9568,130.1758,133.4082,835849
2024-05-19,133.4082,138.4948,133.3078,137.4065,864366
2024-05-20,137.4065,137.6365,136.1657,136.6649,994868
2024-05-21,136.6649,139.9721,135.5684,139.1335,1235006
2024-05-22,139.1335,139.9203,137.6076,137.7638,845328
2024-05-23,137.7638,139.4416,137.6377,138.0166,1270428
2024-05-24,138.0166,138.1674,136.0419,136.8574,1095735
2024-05-25,136.8574,138.2365,136.7442,137.1716,944173
2024-05-26,137.1716,139.0443,136.4368,138.7633,1045292
2024-05-27,138.7633,139.2585,138.5549,139.1659,923452
2024-05-28,139.1659,141.5428,138.5492,140.5658,1260613
2024-05-29,140.5658,141.291,139.201,140.859,1023253
2024-05-30,140.859,144.3503,139.9121,143.8797,1018122
2024-05-31,143.8797,144.652,142.6738,143.6921,1015343
2024-06-01,143.6921,145.6556,143.5164,145.4284,880222
2024-06-02,145.4284,145.7513,143.8365,144.4333,969508
2024-06-03,144.4333,145.6359,144.2992,145.1158,885951
2024-06-04,145.1158,146.1294,145.0124,145.8336,1070822
2024-06-05,145.8336,146.0545,143.5127,143.6717,1096174
2024-06-06,143.6717,143.7632,140.9515,141.635,973208
2024-06-07,141.635,142.4383,141.495,142.1822,1101195
2024-06-08,142.1822,143.1039,141.7372,143.0166,974434
2024-06-09,143.0166,146.1446,142.9202,146.0253,926274
2024-06-10,146.0253,148.7878,145.4935,148.2809,859453
2024-06-11,148.2809,148.403,147.2117,147.2884,1044633
2024-06-12,147.2884,150.2977,147.0274,150.0501,863527
2024-06-13,150.0501,153.6053,149.7281,153.2177,1028181
2024-06-14,153.2177,153.4183,152.3861,152.6925,997122
2024-06-15,152.6925,154.6722,152.5819,153.8354,896210
2024-06-16,153.8354,153.9306,151.6242,152.7586,1104785
2024-06-17,152.7586,155.2701,152.1513,155.237,858194
2024-06-18,155.237,157.3982,155.1249,155.8869,1099664
2024-06-19,155.8869,156.5477,155.7734,156.2387,1052596
2024-06-20,156.2387,159.2393,155.8077,159.2276,930810
2024-06-21,159.2276,161.5298,159.0236,160.5306,842121
2024-06-22,160.5306,161.8767,159.6068,159.8176,795801
2024-06-23,159.8176,161.0808,157.7025,158.4109,1085262
2024-06-24,158.4109,159.5195,156.7567,156.8686,948824
2024-06-25,156.8686,159.0932,156.8632,158.6233,805335
2024-06-26,158.6233,159.6583,158.2534,159.3394,784380
2024-06-27,159.3394,162.6735,159.0786,162.4037,1002394
2024-06-28,162.4037,165.5608,162.1873,165.3864,1102320
2024-06-29,165.3864,171.587,164.9412,170.6398,831657
2024-06-30,170.6398,180.2065,170.386,179.3466,895016
2024-07-01,179.3466,184.2332,178.3228,183.924,1040138
2024-07-02,183.924,186.4719,183.0263,186.2346,891244
2024-07-03,186.2346,186.3927,185.8473,186.3758,1110283
2024-07-04,186.3758,187.6665,184.8212,185.3695,1202333
2024-07-05,185.3695,187.1051,184.8426,185.2067,825336
2024-07-06,185.2067,185.387,183.5948,184.4638,1356186
2024-07-07,184.4638,184.9662,182.3061,183.3772,983619
2024-07-08,183.3772,183.5775,182.0219,182.286,1131362
2024-07-09,182.286,184.5316,182.2551,183.5038,898996
2024-07-10,183.5038,184.0158,178.767,179.7972,1088028
2024-07-11,179.7972,186.4467,179.385,185.0707,929890
2024-07-12,185.0707,188.5076,184.7607,187.7108,978604
2024-07-13,187.7108,193.8915,187.3464,193.8082,1017987
2024-07-14,193.8082,197.1215,193.6156,196.3193,825045
2024-07-15,196.3193,198.3195,195.7368,196.8416,986118
2024-07-16,196.8416,197.0868,194.9956,195.8186,915746
2024-07-17,195.8186,201.5029,195.5914,200.4017,1261414
2024-07-18,200.4017,201.3544,195.3184,196.7757,986488
2024-07-19,196.7757,197.4245,193.1133,195.5811,712328
2024-07-20,195.5811,195.61,192.7792,193.4704,966869
2024-07-21,193.4704,193.7809,189.2993,189.9426,1036603
2024-07-22,189.9426,191.6,189.4439,190.5081,952301
2024-07-23,190.5081,190.7328,189.8157,189.8552,765673
2024-07-24,189.8552,190.6381,189.1285,189.9428,761781
2024-07-25,189.9428,191.9372,189.0694,191.8293,1040845
2024-07-26,191.8293,192.6608,186.5735,187.1409,885147
2024-07-27,187.1409,187.2752,183.8136,183.9438,848219
2024-07-28,183.9438,184.2958,180.5975,182.4881,1075399
2024-07-29,182.4881,183.4403,179.1533,179.9813,763060
2024-07-30,179.9813,182.9792,179.5233,181.8264,1089600
2024-07-31,181.8264,183.0304,180.2442,180.3798,970851
2024-08-01,180.3798,182.8669,178.1895,182.4373,753115
2024-08-02,182.4373,183.2157,180.821,181.6601,1123275
2024-08-03,181.6601,183.1449,181.1186,182.5772,695548
2024-08-04,182.5772,185.9696,182.3867,185.5923,1140027
2024-08-05,185.5923,187.2499,184.387,186.5223,892924
2024-08-06,186.5223,186.7875,185.5006,186.2136,848704
2024-08-07,186.2136,187.8563,185.2389,185.7531,1130584
2024-08-08,185.7531,186.3234,183.6326,184.9673,1015996
2024-08-09,184.9673,187.5986,184.5307,186.9442,1135632
2024-08-10,186.9442,187.7653,184.011,184.5094,879214
2024-08-11,184.5094,185.9353,183.5415,183.7687,1140367
2024-08-12,183.7687,183.8257,180.566,181.4199,914334
2024-08-13,181.4199,182.5414,180.3667,182.5134,969637
2024-08-14,182.5134,183.4454,180.8793,181.3498,772035
2024-08-15,181.3498,183.7602,179.7792,183.4563,1006679
2024-08-16,183.4563,184.7367,181.3033,181.8335,912884
2024-08-17,181.8335,182.6002,178.6178,179.1197,784611
2024-08-18,179.1197,180.2708,175.1315,176.1867,766048
2024-08-19,176.1867,176.6685,173.5246,174.3801,1071740
2024-08-20,174.3801,174.6814,173.2598,173.582,1238931
2024-08-21,173.582,173.9121,171.5936,173.3872,901939
2024-08-22,173.3872,173.6828,167.9254,168.1765,898855
2024-08-23,168.1765,169.24,167.7892,168.5505,766958
2024-08-24,168.5505,168.8335,166.9882,167.347,980910
2024-08-25,167.347,170.8556,167.0451,170.5728,586073
2024-08-26,170.5728,173.7674,169.7704,173.5113,1198135
2024-08-27,173.5113,175.4658,172.5154,175.3898,1062846
2024-08-28,175.3898,176.2111,173.4427,174.1696,680111
2024-08-29,174.1696,175.7645,172.7407,175.4421,1048776
2024-08-30,175.4421,176.0289,171.1519,171.1962,1053334
2024-08-31,171.1962,174.6552,170.9703,173.2967,1145479
2024-09-01,173.2967,177.9088,173.0263,176.5942,1164640
2024-09-02,176.5942,181.1739,176.083,180.3098,1124169
2024-09-03,180.3098,181.3536,177.9884,178.6909,947939
2024-09-04,178.6909,179.1336,178.41,178.7199,1034912
2024-09-05,178.7199,178.7689,176.4439,176.6177,988396
2024-09-06,176.6177,177.1735,173.8182,175.13,909813
2024-09-07,175.13,178.4443,173.2713,177.8119,885820
2024-09-08,177.8119,178.3679,176.4109,176.544,1071159
2024-09-09,176.544,178.6202,176.0168,177.9803,816566
2024-09-10,177.9803,178.0651,177.5839,177.7056,890903
2024-09-11,177.7056,180.3869,176.6063,179.7276,1106696
2024-09-12,179.7276,180.7023,179.2893,180.2176,902227
2024-09-13,180.2176,184.3547,178.7924,183.0961,1005283
2024-09-14,183.0961,184.2064,183.0943,183.9001,1092893
2024-09-15,183.9001,184.0427,182.432,183.7247,1024707
2024-09-16,183.7247,184.6133,183.6142,183.9643,1043743
2024-09-17,183.9643,184.8623,183.8931,183.9159,829467
2024-09-18,183.9159,185.3435,183.2415,184.4717,1112385
2024-09-19,184.4717,185.2589,184.1645,185.1847,705250
2024-09-20,185.1847,185.2949,182.5874,182.8399,988090
2024-09-21,182.8399,182.9375,180.3992,180.7271,839710
2024-09-22,180.7271,181.6846,179.8622,181.5321,1099829
2024-09-23,181.5321,183.459,180.9184,183.2233,859655
2024-09-24,183.2233,185.3333,179.3027,180.0803,968525
2024-09-25,180.0803,180.2828,178.9724,179.3915,719748
2024-09-26,179.3915,180.3894,177.2425,177.3324,897370
2024-09-27,177.3324,177.4855,175.5486,175.9588,1139814
2024-09-28,175.9588,176.1172,174.3024,175.2313,1098530
2024-09-29,175.2313,175.5178,174.2366,174.4669,973983
2024-09-30,174.4669,175.2791,173.5275,175.0094,1140143
2024-10-01,175.0094,176.9415,174.2398,176.1102,900420
2024-10-02,176.1102,176.4258,175.0505,175.6805,1176561
2024-10-03,175.6805,177.1911,175.3465,175.7759,612222
2024-10-04,175.7759,176.162,173.8526,174.2782,951211
2024-10-05,174.2782,174.6921,172.4981,173.5411,1182235
2024-10-06,173.5411,174.4115,170.1394,171.25,877808
2024-10-07,171.25,176.8104,170.8563,175.2405,811975
2024-10-08,175.2405,175.9406,174.0508,175.8139,878409
2024-10-09,175.8139,176.9902,175.6368,176.5474,876689
2024-10-10,176.5474,177.371,175.9231,177.3047,858542
2024-10-11,177.3047,177.5337,177.1171,177.2356,972207
2024-10-12,177.2356,178.5813,176.6687,178.0856,1066109
2024-10-13,178.0856,178.9158,176.4823,176.6358,808518
2024-10-14,176.6358,178.2381,176.0973,178.1189,1173827
2024-10-15,178.1189,178.7309,177.6871,178.2263,852836
2024-10-16,178.2263,178.4291,177.5102,177.521,926296
2024-10-17,177.521,177.768,176.4811,176.8359,843976
2024-10-18,176.8359,177.5859,176.079,177.3982,1124076
2024-10-19,177.3982,180.1157,177.3053,180.0862,1079096
2024-10-20,180.0862,181.5648,178.8933,180.9198,1012073
2024-10-21,180.9198,183.4188,180.6752,182.7802,830754
2024-10-22,182.7802,186.8465,181.4724,185.6813,1130565
2024-10-23,185.6813,187.0662,184.3805,187.0279,858066
2024-10-24,187.0279,187.4754,185.1651,185.3592,849029
2024-10-25,185.3592,186.7297,184.7558,186.6282,1240457
2024-10-26,186.6282,187.5813,184.1663,184.4438,968877
2024-10-27,184.4438,186.7518,183.6814,186.2906,903168
2024-10-28,186.2906,186.6818,185.3373,185.6938,1114214
2024-10-29,185.6938,188.715,185.0248,187.9327,1117652
2024-10-30,187.9327,191.0025,187.7359,190.6086,725480
2024-10-31,190.6086,192.747,190.3024,192.2289,1079122
2024-11-01,192.2289,193.0085,189.8055,190.0711,922359
2024-11-02,190.0711,192.287,190.0353,191.4024,746727
2024-11-03,191.4024,191.9511,186.431,187.4095,916012
2024-11-04,187.4095,188.4657,184.8636,185.1591,938480
2024-11-05,185.1591,188.6066,184.9657,188.2681,1113652
2024-11-06,188.2681,192.0474,187.9621,191.7319,1152790
2024-11-07,191.7319,197.2795,190.374,196.7596,1138989
2024-11-08,196.7596,200.6187,195.8832,199.7476,992577
2024-11-09,199.7476,200.2214,196.0622,196.7447,900226
2024-11-10,196.7447,200.0628,196.3563,198.9873,1153516
2024-11-11,198.9873,200.7129,197.6304,200.4801,1194520
2024-11-12,200.4801,201.537,198.8824,199.373,997361
2024-11-13,199.373,201.2665,198.4724,200.4063,1067779
2024-11-14,200.4063,203.3264,200.2376,202.6685,1150511
2024-11-15,202.6685,203.5984,201.6668,201.9513,789987
2024-11-16,201.9513,204.298,201.664,204.1516,889561
2024-11-17,204.1516,205.9694,202.771,204.7881,830758
2024-11-18,204.7881,205.7259,203.9135,204.3918,1108036
2024-11-19,204.3918,209.5995,203.5362,209.3381,1126640
2024-11-20,209.3381,212.8724,208.2784,212.5945,1185872
2024-11-21,212.5945,216.5221,211.9312,215.3391,783853
2024-11-22,215.3391,216.3517,214.7897,215.384,875003
2024-11-23,215.384,216.008,214.8377,215.0911,1094309
2024-11-24,215.0911,219.5279,215.0224,219.2011,1080722
2024-11-25,219.2011,225.8149,217.9897,225.0057,1152844
2024-11-26,225.0057,230.8467,224.2129,229.2105,1031938
2024-11-27,229.2105,231.2215,228.8205,230.7348,1062427
2024-11-28,230.7348,235.8496,230.5335,234.445,915896
2024-11-29,234.445,234.8132,232.8701,233.1767,901144
2024-11-30,233.1767,233.4391,232.4142,232.4236,836253
2024-12-01,232.4236,232.5932,231.0974,231.4725,842542
2024-12-02,231.4725,234.9891,228.9469,234.2171,858849
2024-12-03,234.2171,234.3989,232.5592,233.4017,1124144
2024-12-04,233.4017,240.2194,233.2404,239.8476,922336
2024-12-05,239.8476,242.6684,238.9896,241.2866,864366
2024-12-06,241.2866,248.3594,240.8171,247.2103,901117
2024-12-07,247.2103,249.6805,246.748,248.8885,952529
2024-12-08,248.8885,249.8106,243.5202,243.7068,1161772
2024-12-09,243.7068,244.9553,242.6195,244.7708,1058169
2024-12-10,244.7708,250.2622,244.6053,247.0853,1025377
2024-12-11,247.0853,254.5262,246.0565,253.7093,785190
2024-12-12,253.7093,257.4991,252.9568,256.8563,796965
2024-12-13,256.8563,262.7501,256.7563,261.4977,1004884
2024-12-14,261.4977,265.5762,260.8263,265.1867,837087
2024-12-15,265.1867,267.5133,264.5171,266.2222,1079532
2024-12-16,266.2222,267.8214,264.5646,267.5038,1128688
2024-12-17,267.5038,267.747,266.3104,267.6089,886524
2024-12-18,267.6089,273.1947,267.5787,273.0592,1083406
2024-12-19,273.0592,273.7081,270.5448,270.6114,1155441
2024-12-20,270.6114,271.9257,270.2113,271.5311,991094
2024-12-21,271.5311,271.7417,267.9693,269.335,986034
2024-12-22,269.335,270.1063,266.1498,268.1377,681959
2024-12-23,268.1377,269.9284,267.9013,269.7331,866082
2024-12-24,269.7331,272.3799,269.4963,270.8644,757702
2024-12-25,270.8644,272.2891,268.9612,272.0045,921624
2024-12-26,272.0045,275.1835,270.3682,273.489,1050987
2024-12-27,273.489,274.9607,266.6257,268.3389,1100227
2024-12-28,268.3389,268.574,263.9963,264.6759,1027193
2024-12-29,264.6759,271.4109,261.5073,270.7548,956470
2024-12-30,270.7548,270.9759,267.2643,267.2786,902328
2024-12-31,267.2786,268.7363,262.1021,262.7298,899389
2025-01-01,262.7298,264.5342,261.398,263.8217,841703
2025-01-02,263.8217,265.8802,262.6028,265.2354,971132
2025-01-03,265.2354,265.2729,255.1101,256.9438,967427
2025-01-04,256.9438,257.3562,254.2155,255.7366,832640
2025-01-05,255.7366,255.9904,250.8223,252.1217,1106362
2025-01-06,252.1217,253.4064,248.3183,249.6846,1102753
2025-01-07,249.6846,249.9206,247.5271,248.1608,898063
2025-01-08,248.1608,249.5633,245.7668,249.554,954360
2025-01-09,249.554,253.0097,248.382,252.3565,1204093
2025-01-10,252.3565,254.6095,247.2889,248.1359,1160343
2025-01-11,248.1359,248.3949,245.7317,247.2982,1106780
2025-01-12,247.2982,248.0219,243.1474,244.3627,916154
2025-01-13,244.3627,246.5131,239.1713,240.303,1183349
2025-01-14,240.303,240.8317,235.0793,236.176,1129841
2025-01-15,236.176,236.6397,235.1353,235.2347,824345
2025-01-16,235.2347,236.0225,231.4914,231.5445,1116160
2025-01-17,231.5445,232.5727,221.3927,221.831,1325928
2025-01-18,221.831,221.8561,219.004,219.584,868630
2025-01-19,219.584,221.5758,218.4518,221.0054,1118980
2025-01-20,221.0054,222.0773,220.8192,221.4358,1044986
2025-01-21,221.4358,221.9245,214.3397,215.147,809772
2025-01-22,215.147,218.1353,214.8688,217.5884,827850
2025-01-23,217.5884,218.3863,216.5994,217.9828,1203110
2025-01-24,217.9828,220.574,216.9137,220.3899,1198564
2025-01-25,220.3899,220.7766,215.4222,216.0593,1066533
2025-01-26,216.0593,219.329,214.5987,219.3254,958711
2025-01-27,219.3254,219.633,217.6694,218.9062,962858
2025-01-28,218.9062,219.3149,213.2752,214.2588,1254983
2025-01-29,214.2588,215.4615,213.1718,214.0962,1355386
2025-01-30,214.0962,214.8696,207.6882,208.0911,1026352
2025-01-31,208.0911,208.5255,207.5142,208.116,1211648
2025-02-01,208.116,209.7465,202.6672,203.9133,822079
2025-02-02,203.9133,205.0714,202.6856,203.0844,975638
2025-02-03,203.0844,204.0328,200.8022,201.2915,998526
2025-02-04,201.2915,202.8653,200.5939,202.697,798767
2025-02-05,202.697,203.6536,197.7351,199.1054,890968
2025-02-06,199.1054,199.9655,198.4471,199.9223,847297
2025-02-07,199.9223,201.0321,196.662,197.639,1107154
2025-02-08,197.639,197.6527,193.9259,194.4066,1364191
2025-02-09,194.4066,194.5569,190.0577,190.3117,884330
2025-02-10,190.3117,191.2457,189.498,191.1268,1063941
2025-02-11,191.1268,193.1212,190.6604,192.1149,1220566
2025-02-12,192.1149,193.6334,191.356,191.7572,987761
2025-02-13,191.7572,192.473,189.4646,189.8227,1152532
2025-02-14,189.8227,190.3924,189.2136,189.7293,1070975
2025-02-15,189.7293,190.4272,187.4581,187.4744,1300339
2025-02-16,187.4744,189.2118,186.9008,188.645,939078
2025-02-17,188.645,189.843,187.7619,188.9583,983712
2025-02-18,188.9583,189.111,188.0322,188.8762,939949
2025-02-19,188.8762,190.6241,188.7296,190.5138,1038560
2025-02-20,190.5138,190.5644,185.4074,185.8819,860524
2025-02-21,185.8819,186.2112,180.4008,181.7658,1130518
2025-02-22,181.7658,182.9887,180.8462,181.3347,1113243
2025-02-23,181.3347,181.5387,179.8649,180.1309,980758
2025-02-24,180.1309,180.1636,176.1527,176.5468,1443066
2025-02-25,176.5468,176.8685,175.4872,176.1838,976595
2025-02-26,176.1838,177.4257,175.0878,176.8075,905848
2025-02-27,176.8075,178.4971,176.5921,177.6923,999977
2025-02-28,177.6923,179.5206,176.9175,179.0317,1027222
2025-03-01,179.0317,179.5655,176.6309,177.0902,1182396
2025-03-02,177.0902,182.4535,177.0502,180.5716,873788
2025-03-03,180.5716,181.7327,177.4624,178.5612,952454
2025-03-04,178.5612,179.8111,176.7183,177.4376,1165249
2025-03-05,177.4376,180.443,177.1072,180.3227,769192
2025-03-06,180.3227,180.4778,178.3624,180.222,1062306
2025-03-07,180.222,182.3068,179.2039,181.0802,887606
2025-03-08,181.0802,181.3022,179.331,180.0209,848821
2025-03-09,180.0209,181.1167,179.944,180.773,965548
2025-03-10,180.773,181.9675,180.1501,181.8552,1015449
2025-03-11,181.8552,184.8035,180.7928,183.8863,1138299
2025-03-12,183.8863,188.6432,183.8628,187.9122,946419
2025-03-13,187.9122,189.3934,187.4092,189.0003,1196883
2025-03-14,189.0003,189.1048,186.3855,187.1518,1293015
2025-03-15,187.1518,187.7374,185.9303,186.094,762633
2025-03-16,186.094,186.9908,184.5192,184.8915,937481
2025-03-17,184.8915,186.8279,184.579,185.8779,1397959
2025-03-18,185.8779,186.8524,185.5698,186.2643,1225985
2025-03-19,186.2643,186.9792,185.0506,186.3492,891878
2025-03-20,186.3492,187.4909,186.0251,187.1135,868713
2025-03-21,187.1135,192.3407,185.8156,192.1642,923736
2025-03-22,192.1642,193.2617,192.0058,192.6475,865169
2025-03-23,192.6475,192.8576,191.435,191.9465,1013210
2025-03-24,191.9465,192.375,187.5715,187.7068,923103
2025-03-25,187.7068,188.3702,186.3548,186.4073,1223058
2025-03-26,186.4073,186.6133,183.4913,184.2113,1050168
2025-03-27,184.2113,185.2585,184.2015,184.9251,984840
2025-03-28,184.9251,185.4545,179.5862,180.9977,1193658
2025-03-29,180.9977,184.2686,180.415,183.6895,1367297
2025-03-30,183.6895,184.6441,182.9688,183.2345,964495
2025-03-31,183.2345,183.6419,181.4319,181.719,652633
2025-04-01,181.719,184.0208,181.3851,183.7843,937115
2025-04-02,183.7843,192.5839,183.0984,191.3156,1105780
2025-04-03,191.3156,198.4715,189.9158,197.6868,862445
2025-04-04,197.6868,201.8042,195.9234,201.7434,1267297
2025-04-05,201.7434,204.1124,200.2794,201.184,952956
2025-04-06,201.184,207.1617,200.6679,206.5546,1019594
2025-04-07,206.5546,209.0321,205.9385,208.7089,1029534
